SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-13 20:43:07.992747,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-89,1.0
1,DC:A6:32:55:FC:D8,2020-07-13 20:43:08.042880,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,1.0
2,DC:A6:32:55:FC:D8,2020-07-13 20:43:10.048265,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88,1.0
3,DC:A6:32:55:FC:D8,2020-07-13 20:43:11.907718,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,1.0
4,DC:A6:32:55:FC:D8,2020-07-13 20:43:12.208429,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,1.0
5,DC:A6:32:55:FC:D8,2020-07-13 20:43:14.213563,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,1.0
6,DC:A6:32:55:FC:D8,2020-07-13 20:43:15.384308,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-90,1.0
7,DC:A6:32:55:FC:D8,2020-07-13 20:43:16.581457,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,1.0
8,DC:A6:32:55:FC:D8,2020-07-13 20:43:17.131336,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-77,1.0
9,DC:A6:32:55:FC:D8,2020-07-13 20:43:18.219865,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,1.0
10,DC:A6:32:55:FC:D8,2020-07-13 20:43:19.232029,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-78,1.0
11,DC:A6:32:55:FC:D8,2020-07-13 20:43:20.389245,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,1.0
12,DC:A6:32:55:FC:D8,2020-07-13 20:43:21.998972,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88,1.0
13,DC:A6:32:55:FC:D8,2020-07-13 20:43:23.152412,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,1.0
14,DC:A6:32:55:FC:D8,2020-07-13 20:43:24.507142,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,1.0
15,DC:A6:32:55:FC:D8,2020-07-13 20:43:25.214359,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,1.0
16,DC:A6:32:55:FC:D8,2020-07-13 20:43:27.220251,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-90,1.0
17,DC:A6:32:55:FC:D8,2020-07-13 20:43:28.047424,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88,1.0
18,DC:A6:32:55:FC:D8,2020-07-13 20:43:29.079755,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-89,1.0
19,DC:A6:32:55:FC:D8,2020-07-13 20:43:30.235794,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,1.0
20,DC:A6:32:55:FC:D8,2020-07-13 20:43:31.332366,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88,1.0
21,DC:A6:32:55:FC:D8,2020-07-13 20:43:33.337755,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,1.0
22,DC:A6:32:55:FC:D8,2020-07-13 20:43:34.799822,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,1.0
23,DC:A6:32:55:FC:D8,2020-07-13 20:43:35.035925,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,1.0
24,DC:A6:32:55:FC:D8,2020-07-13 20:43:36.132934,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,1.0
25,DC:A6:32:55:FC:D8,2020-07-13 20:43:38.138139,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,1.0
26,DC:A6:32:55:FC:D8,2020-07-13 20:43:39.429003,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,1.0
27,DC:A6:32:55:FC:D8,2020-07-13 20:43:40.207599,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,1.0
28,DC:A6:32:55:FC:D8,2020-07-13 20:43:42.215949,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,1.0
29,DC:A6:32:55:FC:D8,2020-07-13 20:43:43.513351,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,1.0
30,DC:A6:32:55:FC:D8,2020-07-13 20:43:44.044387,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-76,1.0
31,DC:A6:32:55:FC:D8,2020-07-13 20:43:46.049117,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,1.0
32,DC:A6:32:55:FC:D8,2020-07-13 20:43:47.038301,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,1.0
33,DC:A6:32:55:FC:D8,2020-07-13 20:43:49.043766,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,1.0
34,DC:A6:32:55:FC:D8,2020-07-13 20:43:51.047681,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,1.0
35,DC:A6:32:55:FC:D8,2020-07-13 20:43:53.053167,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,1.0
36,DC:A6:32:55:FC:D8,2020-07-13 20:43:54.366158,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,1.0
37,DC:A6:32:55:FC:D8,2020-07-13 20:43:55.323848,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,1.0
38,DC:A6:32:55:FC:D8,2020-07-13 20:43:57.328674,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,1.0
39,DC:A6:32:55:FC:D8,2020-07-13 20:43:58.032211,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,1.0
40,DC:A6:32:55:FC:D8,2020-07-13 20:43:59.074668,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,1.0
41,DC:A6:32:55:FC:D8,2020-07-13 20:44:00.561919,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,1.0
42,DC:A6:32:55:FC:D8,2020-07-13 20:44:01.414205,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-78,1.0
43,DC:A6:32:55:FC:D8,2020-07-13 20:44:03.419064,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-77,1.0
44,DC:A6:32:55:FC:D8,2020-07-13 20:44:04.096330,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-77,1.0
45,DC:A6:32:55:FC:D8,2020-07-13 20:44:06.101152,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-78,1.0
46,DC:A6:32:55:FC:D8,2020-07-13 20:44:07.291613,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,1.0